8;8O-8E0;8H:8;;;;;;;
@>3=>7 <0:A8<0;L=>3> C@>2=O 2>4K =0 2024 3>4;;;;;;;
;;;;;;;
Group;Hmax;Criterion;Correlation;Pm;Method;Predictors;Equations
0;370;0.925;0.381;56.667;LassoLarsCV;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02, Y_sum; - 109.852 + 0.058*S_2802 + 0.82*Smax + 0.362*H_2802 - 1.16*X - 1.555*X1 + 1.86*X2 + 0.507*X3 + 1.686*Xs - 0.869*L_max + 2.5*L_2802 + 99.32*Q12 + 100.284*Q01 + 91.422*Q02 - 385.217*Y_sum
0;347;0.932;0.361;60.000;OMP13;Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02, Y_sum; - 110.34 + 0.865*Smax + 0.365*H_2802 - 1.165*X - 1.562*X1 + 1.865*X2 + 0.52*X3 + 1.685*Xs - 0.905*L_max + 2.538*L_2802 + 98.383*Q12 + 99.366*Q01 + 90.61*Q02 - 381.72*Y_sum
0;229;0.940;0.342;50.000;Lars3;S_2802, X, L_2802;161.879 + 0.09*S_2802 + 0.501*X + 0.202*L_2802
1;224;0.941;0.340;46.667;Lars5;Smax, X, X1, X3, L_max;51.704 + 0.389*Smax + 0.516*X - 0.006*X1 + 0.323*X3 + 0.798*L_max
2;221;0.943;0.333;50.000;Lars1;S_2802;220.911 + 0.275*S_2802
1;242;0.961;0.276;46.667;Lars4;Smax, X, X3, L_max;99.876 + 0.144*Smax + 0.556*X + 0.196*X3 + 0.484*L_max
1;242;0.975;0.222;46.667;Lars3;X, X3, L_max;128.472 + 0.578*X + 0.122*X3 + 0.299*L_max
0;237;0.981;0.195;50.000;Lars2;X, L_2802;171.474 + 0.492*X + 0.094*L_2802
1;242;1.000;0.000;50.000;Lars1;X;170.975 + 0.528*X
1;242;1.000;0.000;43.333;Lars2;X, L_max;170.417 + 0.53*X + 0.007*L_max
1;254;1.000;0.000;43.333;OMP1;X;110.607 + 1.052*X
0;240;1.000;0.000;43.333;Lars1;X;179.315 + 0.461*X
0;254;1.000;0.000;43.333;OMP1;X;107.71 + 1.079*X
1;213;1.001;0.000;43.333;OMP2;X, L_max;41.269 + 0.933*X + 1.529*L_max
1;203;1.121;0.000;26.667;PassiveAggressiveRegressor;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 0.17 + 0.91*Smax + 0.448*H_2802 + 0.322*X - 0.255*X1 + 0.558*X3 + 1.159*L_max - 0.244*Y_sum
0;340;1.274;0.000;33.333;Lars13;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01; - 63.208 - 0.192*S_2802 + 0.952*Smax + 0.441*H_2802 - 1.429*X - 1.768*X1 + 2.399*X2 + 0.653*X3 + 1.949*Xs - 3.211*L_max + 4.356*L_2802 - 1.408*Q12 + 0.696*Q01
0;377;1.823;0.000;33.333;Lars14;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01; - 61.496 - 0.694*S_2802 + 1.347*Smax + 0.499*H_2802 - 2.125*X - 2.446*X1 + 3.243*X2 + 0.82*X3 + 2.634*Xs - 4.933*L_max + 5.998*L_2802 - 2.074*Q12 + 0.851*Q01
